Time,Data
0.757 sec,36.3523032966246
0.758 sec,37.834430695713
0.759 sec,38.8159038950084
0.76 sec,39.6276059045116
0.761 sec,39.3465747220487
0.762 sec,41.7497254861256
0.763 sec,41.5607312153021
0.764 sec,40.8202548816161
0.765 sec,39.3408333462237
0.766 sec,39.3647370623072
0.767 sec,36.5850992528373
0.768 sec,34.6657997997875
0.769 sec,41.2048980524603
0.77 sec,41.6798839990046
0.771 sec,41.0456856268426
0.772 sec,39.9553582950722
0.773 sec,40.101769370427
0.774 sec,35.9274267593563
0.775 sec,34.8384659779261
0.776 sec,31.91182261537
0.777 sec,34.6567217457023
0.778 sec,33.6637696786092
0.779 sec,39.0466336255058
0.78 sec,39.0154365901623
0.781 sec,41.1093796325248
0.782 sec,42.4699300570353
0.783 sec,41.2559125828534
0.784 sec,39.7234900568471
0.785 sec,40.2823791160354
0.786 sec,39.6329958084413
0.787 sec,40.9518957868778
0.788 sec,36.3224506995769
0.789 sec,33.5267508126687
0.79 sec,31.4109606361538
0.791 sec,26.6524807168767
0.792 sec,40.6698111094447
0.793 sec,38.2212205001288
0.794 sec,36.9822819327095
0.795 sec,35.8484216011407
0.796 sec,35.1260285637173
0.797 sec,33.4911307772791
0.798 sec,32.335994238
0.799 sec,37.5193006080092
0.8 sec,37.5641773141706
0.801 sec,40.6137425189463
0.802 sec,40.6977439138942
0.803 sec,39.7325277603872
0.804 sec,42.1175168237023
0.805 sec,41.5551864922356
0.806 sec,41.7575397102496
0.807 sec,38.2602651589734
0.808 sec,37.86551637602
0.809 sec,35.4912043047428
0.81 sec,34.1546265912391
0.811 sec,42.2491751252846
0.812 sec,42.4582370815656
0.813 sec,41.1380367194217
0.814 sec,40.2990194368527
0.815 sec,38.1850106648788
0.816 sec,37.2693582258289
0.817 sec,32.8717554010417
0.818 sec,32.352998848348
0.819 sec,33.2143363212745
0.82 sec,37.2869035800218
0.821 sec,38.4236767668604
0.822 sec,40.4726802638131
0.823 sec,40.9753270988033
0.824 sec,42.0148464001823
0.825 sec,41.673291572552
0.826 sec,44.5552664591757
0.827 sec,41.7408061042584
0.828 sec,39.4637135739827
0.829 sec,38.3629900190167
0.83 sec,35.6287805431081
0.831 sec,33.5161637356642
0.832 sec,42.848050123301
0.833 sec,39.7890372574922
0.834 sec,40.5803081151666
0.835 sec,41.2385592311275
0.836 sec,37.4661268893741
0.837 sec,36.2570090568661
0.838 sec,34.274539656271
0.839 sec,32.7063330565224
0.84 sec,33.7678522362159
0.841 sec,36.2613870056154
0.842 sec,37.7718410304276
0.843 sec,40.5440272764074
0.844 sec,40.0209585687549
0.845 sec,40.9671390914393
0.846 sec,43.5026637050688
0.847 sec,42.0217366799744
0.848 sec,41.1921685421035
0.849 sec,38.9331067021961
0.85 sec,38.2622014404347
0.851 sec,35.7167655364352
0.852 sec,31.5128595164466
0.853 sec,30.3529380304096
0.854 sec,35.876495271971
0.855 sec,39.785048648802
0.856 sec,39.4928317219064
0.857 sec,38.3048694234092
0.858 sec,36.5255475717015
0.859 sec,33.4993033814295
0.86 sec,31.5341062954321
0.861 sec,33.6586898619271
0.862 sec,37.4774964439346
0.863 sec,39.8593146173902
0.864 sec,40.9892125205235
0.865 sec,41.8937836467864
0.866 sec,40.4710848291307
0.867 sec,41.0488309486529
0.868 sec,43.249631732264
0.869 sec,40.4637755005747
0.87 sec,37.666877482548
0.871 sec,38.0836394409877
0.872 sec,34.581173577186
0.873 sec,34.0035195094477
0.874 sec,42.3105065376148
0.875 sec,42.2859278234448
0.876 sec,40.5285172793368
0.877 sec,39.826431192333
0.878 sec,36.601768699173
0.879 sec,34.4899931773301
0.88 sec,32.0269512232885
0.881 sec,33.2938711728422
0.882 sec,36.0202341962298
0.883 sec,35.6818642798495
0.884 sec,39.3934779208421
0.885 sec,40.2348723565056
0.886 sec,40.9543055501956
0.887 sec,43.7259354283637
0.888 sec,42.6012129589146
0.889 sec,40.023513779357
0.89 sec,39.312576721336
0.891 sec,38.9837619311204
0.892 sec,36.2785113661357
0.893 sec,33.4911891968183
0.894 sec,41.9862804413415
0.895 sec,40.3879455409751
0.896 sec,40.4434779243733
0.897 sec,41.2260194403466
0.898 sec,38.8861865851468
0.899 sec,36.7093745531601
0.9 sec,33.974206383617
0.901 sec,31.7270437208407
0.902 sec,32.9103366056355
0.903 sec,35.7215920866377
0.904 sec,38.1447990334114
0.905 sec,38.7051064110208
0.906 sec,39.8589306312603
0.907 sec,40.4749935514147
0.908 sec,41.8333322351883
0.909 sec,40.7984090310057
0.91 sec,41.2444729744115
0.911 sec,42.396825887232
0.912 sec,38.7105476624449
0.913 sec,37.100857906228
0.914 sec,34.4361395585365
0.915 sec,28.9808873509119
0.916 sec,28.6357416899434
0.917 sec,40.73452242538
0.918 sec,40.8458694687247
0.919 sec,38.6074141045938
0.92 sec,37.1392893172609
0.921 sec,32.8828199051544
0.922 sec,31.7441699294087
0.923 sec,31.7650475298966
0.924 sec,34.9635455088035
0.925 sec,39.1125635535042
0.926 sec,39.4772524092137
0.927 sec,39.7980025972971
0.928 sec,41.4111989318809
0.929 sec,40.9919046976285
0.93 sec,41.5961922773753
0.931 sec,41.8252166277649
0.932 sec,40.6559720220207
0.933 sec,37.318552138511
0.934 sec,35.0398337285402
0.935 sec,32.4563949116288
0.936 sec,41.3834863955512
0.937 sec,40.0440798145522
