Time,Data
0.598 sec,40.1689413998682
0.599 sec,37.085732666245
0.6 sec,36.268272634348
0.601 sec,32.931776855106
0.602 sec,35.1999963544873
0.603 sec,36.1258798478019
0.604 sec,34.4304191735896
0.605 sec,32.3727282104984
0.606 sec,32.0213446769986
0.607 sec,28.2443368381674
0.608 sec,27.0412989502129
0.609 sec,27.4709423659878
0.61 sec,29.7476824649097
0.611 sec,29.9551853998391
0.612 sec,32.9425180176286
0.613 sec,34.7150857482352
0.614 sec,36.4350798801696
0.615 sec,36.6041923252811
0.616 sec,34.4988712810355
0.617 sec,36.1902777737408
0.618 sec,34.118835606906
0.619 sec,32.9939715020784
0.62 sec,32.7189903419365
0.621 sec,30.3486529702922
0.622 sec,31.934463705206
0.623 sec,37.4036895038949
0.624 sec,33.0784226184942
0.625 sec,33.0805987848403
0.626 sec,29.8253229192475
0.627 sec,31.120341769419
0.628 sec,27.6768864239413
0.629 sec,32.2152281117033
0.63 sec,33.4813479747617
0.631 sec,36.1422584531753
0.632 sec,37.3604205710819
0.633 sec,39.2481179533107
0.634 sec,40.0680418708266
0.635 sec,41.4041962852031
0.636 sec,41.7451347929795
0.637 sec,41.7155565915444
0.638 sec,42.1605496062411
0.639 sec,38.314662066658
0.64 sec,39.0769262308791
0.641 sec,35.8415745835964
0.642 sec,33.8176396874227
0.643 sec,40.6649037917934
0.644 sec,42.8557650577136
0.645 sec,41.5080008476459
0.646 sec,39.2734699013405
0.647 sec,37.8541238899313
0.648 sec,37.3521948852107
0.649 sec,33.8468983094078
0.65 sec,32.6664541734471
0.651 sec,33.449571005948
0.652 sec,35.9514302755178
0.653 sec,36.4151255340953
0.654 sec,38.5138115184823
0.655 sec,39.1022941398535
0.656 sec,41.232767087928
0.657 sec,43.2012018048117
0.658 sec,40.2594016856726
0.659 sec,42.5936899290387
0.66 sec,39.1968159644016
0.661 sec,39.1724911658697
0.662 sec,37.8017726416342
0.663 sec,35.680771814639
0.664 sec,32.1948869598844
0.665 sec,36.3764356619865
0.666 sec,34.011900301841
0.667 sec,32.8986429277713
0.668 sec,32.6938635419702
0.669 sec,31.1813841519248
0.67 sec,27.5443652043702
0.671 sec,25.7754854565753
0.672 sec,27.4072875919063
0.673 sec,30.105707729106
0.674 sec,31.3611447732784
0.675 sec,34.5651941444352
0.676 sec,34.9612113151591
0.677 sec,36.750542979369
0.678 sec,36.8902695368463
0.679 sec,34.8722894110838
0.68 sec,35.0973443720461
0.681 sec,33.7371824215976
0.682 sec,34.4085029047236
0.683 sec,30.3297056761497
0.684 sec,29.3185939269529
0.685 sec,36.6682215590706
0.686 sec,35.6851533297858
0.687 sec,34.5813309468684
0.688 sec,34.2401029500142
0.689 sec,31.2264591212121
0.69 sec,29.8958358428521
0.691 sec,28.0355013271135
0.692 sec,30.6516503256667
0.693 sec,34.5864624965956
0.694 sec,36.8372374292153
0.695 sec,37.1952852621036
0.696 sec,38.7290638460234
0.697 sec,40.3199561552811
0.698 sec,40.4193187917121
0.699 sec,40.6666743359727
0.7 sec,42.1632574863873
0.701 sec,39.4979585893473
0.702 sec,40.3671267800944
0.703 sec,37.5849294313377
0.704 sec,35.9835833552772
0.705 sec,36.1319880782584
0.706 sec,41.9681569419482
0.707 sec,42.6529790912936
0.708 sec,40.5074859025781
0.709 sec,37.9582030469099
0.71 sec,37.3131222989429
0.711 sec,35.9075520301863
0.712 sec,33.9936924329262
0.713 sec,30.6744529972439
0.714 sec,34.4293806988681
0.715 sec,36.4710626074861
0.716 sec,36.5799265743218
0.717 sec,40.2752008076751
0.718 sec,40.6196986087305
0.719 sec,41.2735424594793
0.72 sec,40.8230949706138
0.721 sec,42.7209190957669
0.722 sec,41.6617619708938
